정류소번소,정류소명,X좌표,Y좌표,정류소 타입,우편번호,주소
1146,국민은행세검정지점,126.961195,37.604846,일반차로,서울특별시 종로구 신영동 20-1,
1148,승가사입구,126.956306,37.61158441,일반차로,서울특별시 종로구 구기동 151,03000
1149,구기동현대빌라,126.9564576,37.6100355,일반차로,서울특별시 종로구 구기동 150,03000
1150,구기터널.삼성출판박물관,126.9562103,37.60860989,일반차로,서울특별시 종로구 구기동 120-1,
1151,구기터널.삼성출판박물관,126.9564167,37.6083054,일반차로,서울특별시 종로구 구기동 110-1,03012
1152,구기동,126.9585298,37.60696445,일반차로,서울특별시 종로구 구기동 95-27,03012
1153,구기동,126.9591017,37.6070088,일반차로,서울특별시 종로구 구기동 88-20,
1154,승가사입구,126.956482,37.61148,일반차로,서울특별시 종로구 구기동 139-21,03001
1155,갑을씨티텔앞,126.963535,37.60437097,일반차로,서울특별시 종로구 평창동 288-1,
1156,평창파출소,126.9660433,37.60532237,일반차로,서울특별시 종로구 평창동 591,
1157,평창동주민센터,126.9695663,37.60660737,일반차로,서울특별시 종로구 평창동 157-4,
1158,일성아파트,126.972925,37.608873,일반차로,서울특별시 종로구 평창동 145-15,
1159,롯데아파트,126.976317,37.61039,일반차로,서울특별시 종로구 평창동 577-7,03004
1160,롯데아파트,126.976652,37.610248,일반차로,서울특별시 종로구 평창동 106-4,03010
1161,벽산평창힐스아파트,126.972797,37.60819,일반차로,서울특별시 종로구 평창동 85-2,
1162,예능교회,126.97,37.606517,일반차로,서울특별시 종로구 평창동 157-4,
1163,서울예술고등학교.평창동주민센터,126.9676276,37.60577876,일반차로,서울특별시 종로구 평창동 229-4,03011
1164,화정박물관,126.9648103,37.60450382,일반차로,서울특별시 종로구 평창동 285-1,03011
1165,강북삼성병원,126.9686005,37.56814593,일반차로,서울특별시 종로구 평동 108-1,03181
1167,독립문역.서대문형무소역사관,126.959322,37.573395,일반차로,서울특별시 종로구 무악동 89,03030
1168,서대문.서울시교육청,126.9645273,37.56825381,일반차로,서울특별시 종로구 교남동 4-1,03180
1169,서대문역사거리.적십자병원,126.9675878,37.56710815,일반차로,서울특별시 종로구 평동 171,03181
1171,독립문,126.96143,37.571342,일반차로,서울특별시 종로구 교북동 126-6,
1172,창덕궁.서울돈화문국악당,126.9885394,37.57754057,일반차로,서울특별시 종로구 운니동 98-9,
1173,서린동.SK서린빌딩,126.980095,37.569263,일반차로,서울특별시 종로구 서린동 118-3,
1174,청계1가.광교,126.9849267,37.56868439,일반차로,서울특별시 종로구 관철동 268,
1175,청계2가.수표교,126.99082,37.568442,일반차로,서울특별시 종로구 관수동 91-4,
1176,청계4가.세운교,126.996555,37.568927,일반차로,서울특별시 종로구 예지동 137-4,03194
1177,청계5가.광장시장,126.9997974,37.56945128,일반차로,서울특별시 종로구 예지동 293-1,03195
1198,원남동,126.9973383,37.57453251,가로변시간,서울특별시 종로구 원남동 95-1,
1199,창덕궁.우리소리박물관,126.988954,37.577272,일반차로,서울특별시 종로구 운니동 99,
1200,안국역.인사동,126.984133,37.575798,일반차로,서울특별시 종로구 관훈동 113,03146
1201,조계사.종로경찰서,126.9831556,37.57252231,일반차로,서울특별시 종로구 견지동 69-2,03149
1202,조계사.종로경찰서,126.9828259,37.57248581,일반차로,서울특별시 종로구 견지동 110,03150
1203,안국동,126.9827201,37.57461057,일반차로,서울특별시 종로구 견지동 32-8,
1204,종로5가.효제동.김상옥의거터,127.00223,37.5745,가로변시간,서울특별시 종로구 효제동 30-1,
1205,종로5가.효제초등학교,127.0021442,37.57287901,가로변시간,서울특별시 종로구 효제동 297-2,03129
1209,창덕궁.돈화문국악당,126.991233,37.577431,일반차로,서울특별시 종로구 권농동 116-3,
1212,종로5가,127.0021827,37.5705596,일반차로,서울특별시 종로구 종로5가 194-1,03195
1213,청계6가.동대문시장,127.0028494,37.56983511,일반차로,서울특별시 종로구 종로5가 194-1,03195
1214,동대문,127.0084126,37.57172624,일반차로,서울특별시 종로구 종로6가 89,03124
1215,충신동,127.0062788,37.57402235,일반차로,서울특별시 종로구 충신동 27-61,03123
1217,충신동,127.0063434,37.57446028,일반차로,서울특별시 종로구 충신동 27-17,03099
1218,현대그룹빌딩,127.000807,37.575912,일반차로,서울특별시 종로구 연지동 1-14,
1219,방송통신대.이화장,127.002437,37.578043,가로변전일,서울특별시 종로구 동숭동 199-41,
1220,혜화역.마로니에공원,127.0022769,37.58111949,가로변전일,서울특별시 종로구 동숭동 1-177,
1221,혜화역.서울대병원입구,127.00185,37.580957,가로변전일,서울특별시 종로구 연건동 1-3,03080
1222,방송통신대.이화장,127.001977,37.577788,일반차로,서울특별시 종로구 연건동 128,03082
1223,이화동(이화장),127.0006951,37.57611936,일반차로,서울특별시 종로구 연건동 203-5,
1224,창경궁.서울대학교병원,126.9968717,37.57882799,일반차로,서울특별시 종로구 연건동 28-37,
1225,이화동(이화장),127.0032708,37.57593729,일반차로,서울특별시 종로구 이화동 207-2,03123
1226,혜화동로터리,127.000687,37.58558,일반차로,서울특별시 종로구 혜화동 120,03075
1227,명륜동2가.성균관대입구,126.9993988,37.58333349,일반차로,서울특별시 종로구 명륜2가 194-1,03077
1228,혜화역.서울연극센터(장면총리가옥),127.0013282,37.58402281,일반차로,서울특별시 종로구 혜화동 167-3,03077
1229,혜화역.동성중고(장면총리가옥),127.0017177,37.58456977,가로변시간,서울특별시 종로구 혜화동 90-7,03083
1231,종로구민회관.창신동두산아파트,127.0155555,37.57409268,일반차로,서울특별시 종로구 창신동 74-7,
1235,동묘역앞,127.0156014,37.57168496,일반차로,서울특별시 종로구 창신동 322-1,03114
1236,동묘역앞,127.015945,37.57192215,일반차로,서울특별시 종로구 숭인동 313-17,03114
1237,청계2가교차로,126.9878779,37.5684809,일반차로,서울특별시 종로구 관철동 5-13,03191
1238,창신3동주민센터,127.015178,37.578413,일반차로,서울특별시 종로구 창신동 17-36,03094
1239,숭인1동주민센터.창신역4번출구,127.015462,37.578625,일반차로,서울특별시 종로구 숭인동 53-17,
1240,동묘역.롯데캐슬천지인,127.0158024,37.57418005,일반차로,서울특별시 종로구 숭인동 76,03113
1243,신설동로터리,127.022841,37.575695,일반차로,서울특별시 종로구 숭인동 1311,03111
1245,동묘앞,127.017524,37.573643,일반차로,서울특별시 종로구 숭인동 140,
1246,구기동현대빌라,126.956622,37.609682,일반차로,서울특별시 종로구 구기동 127-3,
1247,광장시장,126.9977438,37.5694708,일반차로,서울특별시 종로구 예지동 167-1,
1249,혜화경찰서,126.9974788,37.57258074,가로변시간,서울특별시 종로구 인의동 112-1,03137
1250,서울역사박물관.김구집무실(경교장),126.9721318,37.56990034,가로변시간,서울특별시 종로구 신문로1가 226,03184
1251,청계3가.관수교,126.9937794,37.56868879,일반차로,서울특별시 종로구 장사동 208-4,
1252,청계6가.버들다리,127.0080377,37.56993039,일반차로,서울특별시 종로구 종로6가 289-47,
1253,청계7가.맑은내다리,127.013093,37.57004,일반차로,서울특별시 종로구 창신동 436-65,03120
1254,청계8가.영도교,127.018128,37.570895,일반차로,서울특별시 종로구 창신동 400-4,03118
1256,원남동사거리,126.998113,37.575761,일반차로,서울특별시 종로구 원남동 28-4,
1262,숭인동,127.0204373,37.57427215,일반차로,서울특별시 종로구 숭인동 200-16,
1267,조계사,126.9831609,37.57280034,일반차로,서울특별시 종로구 견지동 69-2,03149
1272,세종문화회관,126.977009,37.573222,일반차로,서울특별시 종로구 세종로 1-68,03154
1277,이화동(이화장),127.002955,37.576257,일반차로,서울특별시 종로구 이화동 203,
1278,상명대정문,126.9550207,37.60161972,일반차로,서울특별시 종로구 홍지동 7-1,03016
1279,이북오도청,126.955973,37.612723,일반차로,서울특별시 종로구 구기동 232-3,
1280,경복궁역(효자로입구),126.974305,37.576715,일반차로,서울특별시 종로구 세종로 2-2,
1286,상명대입구.세검정교회,126.9597922,37.59944351,일반차로,서울특별시 종로구 홍지동 99-7,
1287,상명대입구.석파랑,126.9581941,37.59957181,일반차로,서울특별시 종로구 홍지동 99-7,
1288,종로중부새마을금고,127.0065911,37.57241749,일반차로,서울특별시 종로구 종로6가 28-8,
1289,신설동로터리.신한은행앞.서울풍물시장,127.023192,37.574258,일반차로,서울특별시 종로구 숭인동 1476,
1291,청계2가.삼일교,126.986988,37.568344,일반차로,서울특별시 종로구 관철동 268,
1292,청계8가.황학교,127.022787,37.57213073,일반차로,서울특별시 종로구 숭인동 1499,
1293,평창동삼성아파트,126.978799,37.611179,일반차로,서울특별시 종로구 평창동 596,03010
1294,안국역.인사동,126.9855365,37.57633293,일반차로,서울특별시 종로구 경운동 96-15,03147
1295,안국역.서울공예박물관,126.984888,37.576413,일반차로,서울특별시 종로구 안국동 155,
1296,창덕궁,126.9890031,37.57722809,일반차로,서울특별시 종로구 운니동 98-5,03131
1297,남인사마당,126.9874286,37.57131917,일반차로,서울특별시 종로구 인사동 63-2,
1500,평창파출소,126.9668167,37.60568122,마을버스,서울특별시 종로구 평창동 309-2,
1501,삼청공원,126.9816469,37.58822768,마을버스,서울특별시 종로구 삼청동 1-7,
1502,수성동계곡,126.964469,37.582082,마을버스,서울특별시 종로구 옥인동 181-10,
1503,명륜3가종점,126.9928637,37.59094838,마을버스,서울특별시 종로구 명륜3가 1-352,
1504,명륜새마을금고,126.996798,37.587785,마을버스,서울특별시 종로구 명륜1가 16-73,
1505,서대문3번출구,126.966397,37.566336,마을버스,서울특별시 종로구 평동 211,
1506,낙산공원,127.0087216,37.58040372,마을버스,서울특별시 종로구 창신동 615-278,
1507,인사미술공간.세탁소,126.9893671,37.58141098,마을버스,서울특별시 종로구 원서동 4-13,03057
1508,화정박물관,126.9648837,37.6048012,마을버스,서울특별시 종로구 평창동 288-1,
1509,금융연수원,126.981657,37.586641,마을버스,서울특별시 종로구 삼청동 125-6,03049
1510,박노수미술관,126.9666035,37.58099674,마을버스,서울특별시 종로구 누상동 42,03037
1511,샘미용실,126.9932227,37.59030953,마을버스,서울특별시 종로구 명륜3가 1-1077,03064
1512,서울국제고등학교,126.9972903,37.58907159,마을버스,서울특별시 종로구 명륜1가 27-59,03069
1513,화정박물관,126.9652008,37.60498061,마을버스,서울특별시 종로구 평창동 301-1,03008
1514,적십자병원후문앞,126.9652273,37.56752954,마을버스,서울특별시 종로구 교남동 4-1,03180
1515,서울성곽.성대후문,126.9896321,37.5892577,마을버스,서울특별시 종로구 명륜3가 53-52,03063
1516,빨래터.고희동미술관,126.989067,37.58299,마을버스,서울특별시 종로구 원서동 16,03051
1517,세검초등학교,126.9614908,37.60425228,마을버스,서울특별시 종로구 신영동 10-22,
1518,삼청동주민센터,126.9819072,37.58426383,마을버스,서울특별시 종로구 삼청동 97-1,
1519,통인시장,126.968753,37.580468,마을버스,서울특별시 종로구 누하동 14-4,
1520,양현관,126.9936044,37.58979142,마을버스,서울특별시 종로구 명륜3가 1-1179,03064
1521,국민생활관,126.998862,37.58974563,마을버스,서울특별시 종로구 명륜1가 31-3,03068
1522,오거리,126.9622629,37.60706212,마을버스,서울특별시 종로구 평창동 345-57,
1523,경희궁자이2.3단지,126.9640686,37.56878711,마을버스,서울특별시 종로구 교남동 55-3,03180
1524,창신쌍용2단지.한성대후문,127.0127581,37.5812648,마을버스,서울특별시 종로구 창신동 산 3-12,
1525,통일부,126.9859477,37.58759481,마을버스,서울특별시 종로구 삼청동 25-23,03050
1526,원서고개,126.9878088,37.58308055,마을버스,서울특별시 종로구 원서동 4-13,03057
1528,종로5가입구.혜화경찰서,126.997681,37.571797,마을버스,서울특별시 종로구 인의동 101-8,
1529,삼청파출소,126.981251,37.58181366,마을버스,서울특별시 종로구 팔판동 92-4,
1530,오거리.한옥마을입구,126.969561,37.579537,마을버스,서울특별시 종로구 누하동 29-4,
1531,명륜시장.성대후문,126.9952543,37.58851105,마을버스,서울특별시 종로구 명륜3가 1-808,
1532,혜화초등학교,126.9998517,37.58725323,마을버스,서울특별시 종로구 명륜1가 36-51,03068
1533,청련사입구,126.9624312,37.60798038,마을버스,서울특별시 종로구 평창동 345-103,03008
1534,영천시장,126.962735,37.570084,마을버스,서울특별시 종로구 교북동 100-3,
1535,명신초.삼선푸르지오.힐스테이트,127.0145563,37.58210621,마을버스,서울특별시 종로구 창신동 7-40,03093
