상품명,제조사,칩셋명,가격,판매몰,출시일
COLORFUL iGame 지포스 RTX 4060 Ti ULTRA DUO OC D6 8GB White,COLORFUL,RTX 4060 Ti,588210.0,240,2023-06-01
COLORFUL iGame 지포스 RTX 4060 ULTRA OC White D6 8GB,COLORFUL,RTX 4060,458150.0,251,2023-06-01
GIGABYTE 지포스 RTX 4060 Ti AERO OC D6 8GB 제이씨현,GIGABYTE,RTX 4060 Ti,620550.0,220,2023-05-01
GIGABYTE 지포스 RTX 4060 Ti EAGLE OC D6 8GB 피씨디렉트,GIGABYTE,RTX 4060 Ti,617990.0,219,2023-05-01
갤럭시 GALAX 지포스 RTX 4070 EX GAMER PINK OC D6X 12GB,갤럭시,RTX 4070,873840.0,278,2023-04-01
GIGABYTE 지포스 RTX 4060 Gaming OC D6 8GB 피씨디렉트,GIGABYTE,RTX 4060,459030.0,192,2023-06-01
COLORFUL 지포스 GT1030 REVENGE V8 D5 2GB,COLORFUL,GT1030,96990.0,150,2023-07-01
갤럭시 갤라즈 GALAX 지포스 GT610 D3 2GB LP,갤럭시,GT610,37250.0,228,2021-11-01
ASUS ROG STRIX 지포스 RTX 4080 O16G GAMING OC D6X 16GB,ASUS,RTX 4080,1951700.0,219,2022-11-01
COLORFUL iGame 지포스 RTX 4070 Vulcan OC D6X 12GB,COLORFUL,RTX 4070,895100.0,213,2023-04-01
갤럭시 갤라즈 GALAX 지포스 RTX 3050 V2 D6 8GB,갤럭시,RTX 3050,299700.0,270,2022-06-01
갤럭시 GALAX 지포스 RTX 4090 SG BLACK OC V2 D6X 24GB,갤럭시,RTX 4090,3084900.0,9,2023-03-01
COLORFUL iGame 지포스 RTX 4070 Ti Advanced OC D6X 12GB,COLORFUL,RTX 4070 Ti,1162150.0,247,2023-02-01
PNY 지포스 RTX 4070 Ti VERTO D6X 12GB Triple White Edition 제이씨현,PNY,RTX 4070 Ti,1200500.0,21,2023-03-01
ASUS DUAL 지포스 RTX 3060 Ti O8G OC D6 8GB,ASUS,RTX 3060 Ti,597440.0,42,2020-12-01
STCOM 지포스 G210 D3 1GB LP,STCOM,G210,24110.0,110,2023-09-01
GIGABYTE 지포스 RTX 4060 Ti Gaming OC D6 16GB 제이씨현,GIGABYTE,RTX 4060 Ti,755990.0,160,2023-08-01
GIGABYTE 지포스 GTX 1660 SUPER UDV D6 6GB 피씨디렉트,GIGABYTE,GTX 1660 SUPER,284270.0,121,2021-06-01
GIGABYTE 지포스 RTX 4070 WINDFORCE 2X OC D6X 12GB 피씨디렉트,GIGABYTE,RTX 4070,805620.0,57,2023-11-01
액슬 지포스 GTX 1660 SUPER D6 6GB 에즈윈,액슬,GTX 1660 SUPER,230230.0,129,2023-10-01
GIGABYTE AORUS 지포스 RTX 4070 Ti ELITE D6X 12GB 피씨디렉트,GIGABYTE,RTX 4070 Ti,1292460.0,151,2023-01-01
COLORFUL 지포스 RTX 4080 토마호크 EX OC D6X 16GB,COLORFUL,RTX 4080,1606960.0,138,2022-11-01
GAINWARD 지포스 RTX 3060 고스트 D6 12GB LHR,GAINWARD,RTX 3060,372210.0,185,2021-07-01
갤럭시 갤라즈 GALAX 지포스 GT710 D3 2GB LP 무소음,갤럭시,GT710,48680.0,219,2022-05-01
갤럭시 갤라즈 BOY 지포스 GT730 D3 4GB LP,갤럭시,GT730,69400.0,62,2022-11-01
갤럭시 갤라즈 GALAX 지포스 GTX 1630 EX BLACK OC D6 4GB,갤럭시,GTX 1630,182000.0,188,2022-07-01
GIGABYTE 지포스 RTX 4070 Gaming OC D6X 12GB 피씨디렉트,GIGABYTE,RTX 4070,832300.0,208,2023-04-01
액슬 지포스 RTX 3060 Ti D6 8GB 에즈윈,액슬,RTX 3060 Ti,457730.0,148,2023-10-01
GIGABYTE 지포스 RTX 4080 EAGLE OC D6X 16GB 피씨디렉트,GIGABYTE,RTX 4080,1584050.0,62,2022-11-01
MAXSUN 지포스 RTX 4060 터미네이터 D6 8GB 스노우화이트,MAXSUN,RTX 4060,427940.0,96,2023-11-01
갤럭시 갤라즈 GALAX 지포스 RTX 4070 Ti SG OC D6X 12GB,갤럭시,RTX 4070 Ti,1220290.0,224,2023-01-01
STCOM 지포스 RTX 3060 D6 12GB,STCOM,RTX 3060,357200.0,125,2023-09-01
ASUS ProArt 지포스 RTX 4060 Ti O16G OC D6 16GB,ASUS,RTX 4060 Ti,778850.0,145,2023-08-01
갤럭시 GALAX 지포스 GT730 D3 4GB LP,갤럭시,GT730,69390.0,183,2022-11-01
갤럭시 GALAX 지포스 GT1030 D5 2GB,갤럭시,GT1030,107000.0,239,2017-05-01
COLORFUL iGame 지포스 RTX 4060 Ti Advanced OC D6 16GB,COLORFUL,RTX 4060 Ti,628710.0,91,2023-08-01
COLORFUL iGame 지포스 RTX 4070 Neptune OC D6X 12GB,COLORFUL,RTX 4070,900490.0,197,2023-04-01
갤럭시 GALAX 지포스 GT1030 강아지 EXOC D5 2GB LP,갤럭시,GT1030,103990.0,195,2017-05-01
액슬 지포스 GTX1050 Ti D5 4GB 에즈윈,액슬,GTX1050 Ti,171400.0,145,2023-10-01
GIGABYTE 지포스 RTX 4070 AERO OC D6X 12GB 피씨디렉트,GIGABYTE,RTX 4070,927670.0,189,2023-04-01
PNY 지포스 RTX 4070 Ti VERTO D6X 12GB Triple White Edition 마이크로닉스,PNY,RTX 4070 Ti,1164340.0,114,2023-03-01
COLORFUL 지포스 GT710 REVENGE D3 2GB LP,COLORFUL,GT710,45310.0,218,2022-11-01
GIGABYTE 지포스 RTX 4060 EAGLE OC D6 8GB 피씨디렉트,GIGABYTE,RTX 4060,434850.0,206,2023-06-01
GIGABYTE AORUS 지포스 RTX 4060 Ti ELITE D6 8GB 제이씨현,GIGABYTE,RTX 4060 Ti,698900.0,166,2023-05-01
GAINWARD 지포스 RTX 4070 고스트 D6X 12GB,GAINWARD,RTX 4070,804130.0,176,2023-04-01
갤럭시 GALAX 지포스 GTX 1650 BLACK EX PLUS OC D6 4GB,갤럭시,GTX 1650,211500.0,221,2020-07-01
MSI 지포스 RTX 4080 벤투스 3X OC D6X 16GB,MSI,RTX 4080,1649000.0,25,2022-11-01
갤럭시 BOY 지포스 RTX 4060 1X D6 8GB,갤럭시,RTX 4060,423210.0,131,2023-08-01
ASUS KO 지포스 RTX 3060 O12G GAMING OC D6 12GB,ASUS,RTX 3060,520000.0,3,2021-04-01
COLORFUL 지포스 GT710 REVENGE D3 1GB,COLORFUL,GT710,45320.0,208,2019-03-01
GIGABYTE 지포스 RTX 4060 UD2 D6 8GB 제이씨현,GIGABYTE,RTX 4060,423000.0,90,2023-10-01
COLORFUL iGame 지포스 RTX 4080 Vulcan OC D6X 16GB,COLORFUL,RTX 4080,1970240.0,173,2022-12-01
ASUS ROG STRIX 지포스 RTX 4060 Ti O16G GAMING OC D6 16GB,ASUS,RTX 4060 Ti,848780.0,150,2023-08-01
GIGABYTE 지포스 RTX 4070 KOREA EDITION OC D6X 12GB 피씨디렉트,GIGABYTE,RTX 4070,821140.0,216,2023-04-01
ASUS ProArt 지포스 RTX 4070 O12G OC D6X 12GB,ASUS,RTX 4070,910750.0,90,2023-10-01
ASUS ROG STRIX 지포스 RTX 4080 GAMING D6X 16GB,ASUS,RTX 4080,1991540.0,123,2022-11-01
STCOM 지포스 RTX 4080 D6X 16GB,STCOM,RTX 4080,1623700.0,140,2023-09-01
갤럭시 갤라즈 BOY 지포스 RTX 4080 ST D6X 16GB,갤럭시,RTX 4080,1628490.0,187,2022-11-01
MAXSUN 지포스 GTX1050 Ti 터미네이터 D5 4GB,MAXSUN,GTX1050 Ti,166490.0,94,2023-11-01
ASUS 지포스 GT710 SL EVO D3 2GB,ASUS,GT710,48490.0,195,2022-12-01
NVIDIA RTX 4000 SFF Ada Generation D6 20GB,NVIDIA,RTX 4000,2233000.0,95,2023-07-01
GIGABYTE AORUS 지포스 RTX 4060 Elite D6 8GB 제이씨현,GIGABYTE,RTX 4060,505000.0,185,2023-06-01
ZOTAC GAMING 지포스 RTX 4070 Ti AMP EXTREME AIRO D6X 12GB,ZOTAC,RTX 4070 Ti,1327280.0,78,2023-01-01
COLORFUL 지포스 RTX 4090 토마호크 EX D6X 24GB,COLORFUL,RTX 4090,3237600.0,10,2022-10-01
MSI 지포스 RTX 4090 게이밍 X 트리오 D6X 24GB 트라이프로져3,MSI,RTX 4090,2999000.0,27,2022-10-01
MANLI 지포스 RTX 4070 Ti Gallardo D6X 12GB,MANLI,RTX 4070 Ti,1091360.0,150,2023-02-01
PNY XLR8 지포스 RTX 4060 VERTO OC D6 8GB Dual White Edition 제이씨현,PNY,RTX 4060,452470.0,77,2023-09-01
MSI 지포스 GT710 D3 1GB LP 무소음 V2,MSI,GT710,48000.0,128,2023-01-01
AFOX 지포스 G210 D3 512MB LP 디앤디컴,AFOX,G210,25110.0,177,2021-05-01
ASUS TUF Gaming 지포스 GTX 1650 SUPER 4G D6 4GB,ASUS,GTX 1650 SUPER,274700.0,8,2020-05-01
GIGABYTE AORUS 지포스 RTX 4080 Xtreme 워터블럭 D6X 16GB 피씨디렉트,GIGABYTE,RTX 4080,1962830.0,167,2022-11-01
ASUS PH 지포스 GT1030 O2G D5 2GB,ASUS,GT1030,107170.0,190,2017-06-01
ZOTAC GAMING 지포스 RTX 3060 Ti TWIN Edge OC D6 8GB LHR,ZOTAC,RTX 3060 Ti,475000.0,13,2021-08-01
GIGABYTE AORUS 지포스 RTX 4070 Master D6X 12GB 피씨디렉트,GIGABYTE,RTX 4070,975390.0,169,2023-04-01
ZOTAC GAMING 지포스 RTX 4090 Trinity OC D6X 24GB,ZOTAC,RTX 4090,3057850.0,8,2022-10-01
GIGABYTE AORUS 지포스 RTX 4070 Master D6X 12GB 제이씨현,GIGABYTE,RTX 4070,992650.0,204,2023-04-01
MAXSUN 지포스 GTX 1650 터미네이터 D6 4GB,MAXSUN,GTX 1650,187430.0,138,2023-07-01
COLORFUL iGame 지포스 RTX 4080 Neptune OC D6X 16GB,COLORFUL,RTX 4080,2055660.0,143,2022-11-01
갤럭시 BOY 지포스 RTX 4060 Ti OC D6 8GB,갤럭시,RTX 4060 Ti,560950.0,153,2023-07-01
PNY 지포스 RTX 4080 VERTO D6X 16GB Triple 마이크로닉스,PNY,RTX 4080,1594760.0,105,2023-08-01
GIGABYTE 지포스 RTX 4060 Ti WINDFORCE OC D6 16GB 제이씨현,GIGABYTE,RTX 4060 Ti,686460.0,115,2023-10-01
MANLI 지포스 RTX 4090 Gallardo D6X 24GB,MANLI,RTX 4090,3214800.0,7,2022-11-01
액슬 지포스 GT730 클래식 D3 2GB 에즈윈,액슬,GT730,46350.0,129,2023-10-01
MANLI 지포스 RTX 3050 Rush V2 D6 8GB,MANLI,RTX 3050,292340.0,166,2023-02-01
MANLI 지포스 RTX 3060 Rush D6 12GB LHR,MANLI,RTX 3060,363770.0,171,2023-08-01
리드텍 WinFast 지포스 RTX 3070 AI BLOWER D6 8GB,리드텍,RTX 3070,716280.0,151,2022-01-01
GIGABYTE 지포스 RTX 3060 EAGLE OC V2 D6 12GB 피씨디렉트,GIGABYTE,RTX 3060,406910.0,190,2021-06-01
갤럭시 BOY 지포스 RTX 3050 V2 D6 8GB,갤럭시,RTX 3050,297680.0,178,2023-02-01
갤럭시 BOY 지포스 RTX 4070 3X OC D6X 12GB,갤럭시,RTX 4070,872700.0,144,2023-07-01
ASUS DUAL 지포스 RTX 4070 O12G OC D6X 12GB White,ASUS,RTX 4070,896900.0,94,2023-07-01
GIGABYTE 지포스 RTX 3060 WINDFORCE OC D6 12GB 피씨디렉트,GIGABYTE,RTX 3060,369000.0,175,2022-08-01
GIGABYTE AORUS 지포스 RTX 4070 Ti Master D6X 12GB 피씨디렉트,GIGABYTE,RTX 4070 Ti,1458450.0,4,2023-01-01
갤럭시 BOY 지포스 GT710 D3 1GB LP 무소음,갤럭시,GT710,45320.0,186,2019-03-01
갤럭시 GALAX 지포스 RTX 3060 Ti D6 8GB LHR,갤럭시,RTX 3060 Ti,556170.0,10,2021-07-01
GIGABYTE 지포스 RTX 4060 Ti AERO OC D6 16GB 제이씨현,GIGABYTE,RTX 4060 Ti,779380.0,148,2023-08-01
PNY XLR8 지포스 RTX 4070 VERTO EPIC-X RGB D6X 12GB Triple 제이씨현,PNY,RTX 4070,832090.0,101,2023-04-01
MANLI 지포스 RTX 3050 Rush V3 D6 8GB,MANLI,RTX 3050,292160.0,111,2023-10-01
AFOX 지포스 GT730 D3 2GB LP 무소음 디앤디컴,AFOX,GT730,58150.0,167,2021-05-01
PNY XLR8 지포스 RTX 4060 VERTO OC D6 8GB Dual White Edition 마이크로닉스,PNY,RTX 4060,443200.0,105,2023-09-01
갤럭시 BOY 지포스 GT1030 D5 2GB,갤럭시,GT1030,103840.0,166,2019-03-01
갤럭시 BOY 지포스 RTX 3060 V2 D6 12GB,갤럭시,RTX 3060,412290.0,130,2021-09-01
GIGABYTE AORUS 지포스 RTX 4060 Elite D6 8GB 피씨디렉트,GIGABYTE,RTX 4060,508270.0,122,2023-06-01
PNY 지포스 RTX 4070 Ti VERTO D6X 12GB Triple 마이크로닉스,PNY,RTX 4070 Ti,1164350.0,164,2023-01-01
GIGABYTE 지포스 RTX 4080 EAGLE D6X 16GB 피씨디렉트,GIGABYTE,RTX 4080,1650000.0,36,2022-11-01
MAXSUN 지포스 GT1030 파워해머 D5 2GB,MAXSUN,GT1030,93890.0,139,2020-10-01
PNY 지포스 RTX 4060 VERTO D6 8GB Dual 마이크로닉스,PNY,RTX 4060,426330.0,133,2023-06-01
갤럭시 BOY 지포스 RTX 4060 EX OC D6 8GB,갤럭시,RTX 4060,466650.0,135,2023-08-01
리드텍 WinFast 지포스 RTX 3060 CLASSIC D6 12GB,리드텍,RTX 3060,495070.0,153,2021-12-01
MSI 지포스 GTX 1660 SUPER 벤투스 S OC D6 6GB,MSI,GTX 1660 SUPER,368000.0,36,2019-11-01
MANLI 지포스 RTX 3060 Gallardo D6 12GB,MANLI,RTX 3060,368020.0,139,2023-05-01
리드텍 WinFast 지포스 GTX 1650 D6 4GB,리드텍,GTX 1650,204620.0,144,2020-09-01
STCOM 지포스 RTX 4060 Ti D6 8GB,STCOM,RTX 4060 Ti,560220.0,101,2023-11-01
MSI 지포스 GT730 V1 D3 2GB LP 무소음,MSI,GT730,69000.0,77,2021-06-01
GIGABYTE 지포스 GTX 1650 UD2 OC V2 D6 4GB 피씨디렉트,GIGABYTE,GTX 1650,210000.0,156,2021-12-01
GIGABYTE 지포스 RTX 4090 WINDFORCE D6X 24GB 피씨디렉트,GIGABYTE,RTX 4090,3080070.0,79,2022-10-01
AFOX 지포스 GT730 D3 1GB LP 무소음 디앤디컴,AFOX,GT730,50650.0,151,2021-06-01
갤럭시 BOY 지포스 RTX 3050 EX OC D6 8GB,갤럭시,RTX 3050,341360.0,113,2023-08-01
갤럭시 갤라즈 BOY 지포스 GT610 D3 2GB LP,갤럭시,GT610,39880.0,150,2021-11-01
갤럭시 갤라즈 BOY 지포스 GTX 1630 EX OC D6 4GB,갤럭시,GTX 1630,179260.0,128,2022-07-01
GIGABYTE 지포스 GT1030 UD2 D4 2GB 미니미 피씨디렉트,GIGABYTE,GT1030,101840.0,9,2021-05-01
COLORFUL iGame 지포스 RTX 4090 Neptune OC D6X 24GB,COLORFUL,RTX 4090,,0,2022-10-01
COLORFUL iGame 지포스 RTX 4080 Advanced OC D6X 16GB,COLORFUL,RTX 4080,1807640.0,123,2022-11-01
PNY XLR8 지포스 RTX 4090 VERTO EPIC-X RGB TF OC D6X 24GB 제이씨현,PNY,RTX 4090,3090000.0,5,2022-10-01
ASUS ROG STRIX 지포스 RTX 4080 GAMING D6X 16GB White,ASUS,RTX 4080,2068970.0,89,2023-03-01
리드텍 WinFast 지포스 RTX 4070 Ti HURRICANE D6X 12GB,리드텍,RTX 4070 Ti,1111150.0,138,2023-01-01
MSI 지포스 GT710 D3 2GB LP 무소음,MSI,GT710,47990.0,128,2016-01-01
리드텍 WinFast 지포스 RTX 4060 Ti HURRICANE D6 8GB,리드텍,RTX 4060 Ti,540270.0,107,2023-08-01
PNY 지포스 RTX 3070 Ti UPRISING D6X 8GB Triple 제이씨현,PNY,RTX 3070 Ti,758260.0,127,2023-01-01
갤럭시 갤라즈 BOY 지포스 GTX 1650 EX D6 4GB,갤럭시,GTX 1650,222310.0,141,2022-11-01
리드텍 WinFast 지포스 RTX 4070 HURRICANE D6X 12GB,리드텍,RTX 4070,828720.0,137,2023-06-01
ASUS 지포스 GT730 SL EVO D3 2GB,ASUS,GT730,65000.0,76,2022-12-01
ASUS DUAL 지포스 RTX 3050 V2 O8G OC D6 8GB,ASUS,RTX 3050,327090.0,122,2023-09-01
갤럭시 갤라즈 GALAX 지포스 RTX 4090 SG OC D6X 24GB,갤럭시,RTX 4090,3325990.0,4,2022-10-01
이엠텍 지포스 RTX 3060 MIRACLE V2 D6 12GB,이엠텍,RTX 3060,384930.0,28,2023-07-01
갤럭시 BOY 지포스 RTX 4070 Ti SG OC D6X 12GB,갤럭시,RTX 4070 Ti,1189430.0,124,2023-07-01
PNY 지포스 RTX 4060 Ti VERTO D6 8GB Dual 마이크로닉스,PNY,RTX 4060 Ti,577500.0,5,2023-05-01
ASUS ROG STRIX LC 지포스 RTX 4090 O24G GAMING OC D6X 24GB,ASUS,RTX 4090,4000000.0,1,2023-06-01
ZOTAC GAMING 지포스 RTX 4090 AMP EXTREME AIRO D6X 24GB White,ZOTAC,RTX 4090,2733740.0,9,2022-12-01
PNY XLR8 지포스 RTX 4070 VERTO EPIC-X RGB TF D6X 12GB 마이크로닉스,PNY,RTX 4070,873940.0,103,2023-05-01
GIGABYTE 지포스 RTX 4080 Gaming OC D6X 16GB 제이씨현,GIGABYTE,RTX 4080,1624050.0,22,2022-11-01
GIGABYTE AORUS 지포스 RTX 4080 Xtreme 워터포스 D6X 16GB 피씨디렉트,GIGABYTE,RTX 4080,2058960.0,89,2022-11-01
갤럭시 BOY 지포스 GTX 1650 EX PLUS D6 4GB,갤럭시,GTX 1650,211360.0,115,2023-07-01
AFOX 지포스 GTX 1650 H1 D6 4GB DUAL 디앤디컴,AFOX,GTX 1650,207720.0,125,2023-03-01
MANLI 지포스 RTX 3050 Gallardo D6 8GB,MANLI,RTX 3050,293060.0,113,2023-03-01
ARKTEK 지포스 GTX 1660 SUPER D6 6GB,ARKTEK,GTX 1660 SUPER,246900.0,47,2020-01-01
ASUS PH 지포스 GTX 1650 O4G P EVO OC D6 4GB,ASUS,GTX 1650,203290.0,74,2023-07-01
갤럭시 GALAX 지포스 RTX 4090 SG WHITE OC V2 D6X 24GB,갤럭시,RTX 4090,,0,2023-02-01
이엠텍 지포스 RTX 4080 GAMEROCK D6X 16GB,이엠텍,RTX 4080,1726000.0,17,2022-11-01
리드텍 WinFast 지포스 RTX 4060 HURRICANE D6 8GB,리드텍,RTX 4060,420780.0,110,2023-08-01
PNY XLR8 지포스 RTX 4060 Ti VERTO EPIC-X RGB TF OC D6 16GB 마이크로닉스,PNY,RTX 4060 Ti,767730.0,99,2023-08-01
PNY XLR8 지포스 RTX 4070 Ti VERTO EPIC-X RGB TF OC D6X 12GB 마이크로닉스,PNY,RTX 4070 Ti,1195290.0,110,2023-01-01
GIGABYTE 지포스 GT1030 UD2 D5 2GB 미니미 제이씨현,GIGABYTE,GT1030,104890.0,69,2017-05-01
MAXSUN 지포스 GT730 파워해머 SI D3 2GB LP,MAXSUN,GT730,57770.0,60,2023-11-01
GIGABYTE 지포스 RTX 4080 AERO OC D6X 16GB 제이씨현,GIGABYTE,RTX 4080,1848940.0,25,2022-11-01
ZOTAC GAMING 지포스 RTX 4060 Solo D6 8GB,ZOTAC,RTX 4060,437080.0,6,2023-06-01
AFOX 지포스 GTX1050 Ti H5 D5 4GB DUAL 디앤디컴,AFOX,GTX1050 Ti,190680.0,94,2023-07-01
GIGABYTE 지포스 GTX 1650 UD2 OC V4 D6 4GB 제이씨현,GIGABYTE,GTX 1650,213990.0,73,2023-11-01
AFOX 지포스 GTX1050 Ti H2 D5 4GB DUAL 디앤디컴,AFOX,GTX1050 Ti,186120.0,99,2017-08-01
갤럭시 GALAX 지포스 RTX 3090 EX Gamer WHITE OC D6X 24GB,갤럭시,RTX 3090,4100000.0,7,2020-10-01
GAINWARD 지포스 RTX 4080 팬텀 GS D6X 16GB,GAINWARD,RTX 4080,1838840.0,11,2022-11-01
COLORFUL iGame 지포스 RTX 4080 ULTRA OC D6X 16GB White,COLORFUL,RTX 4080,1798450.0,19,2022-12-01
ZOTAC GAMING 지포스 RTX 3080 AMP Holo D6X 12GB LHR,ZOTAC,RTX 3080,1038900.0,1,2022-01-01
GIGABYTE AORUS 지포스 RTX 4060 Ti ELITE D6 8GB 피씨디렉트,GIGABYTE,RTX 4060 Ti,670000.0,6,2023-06-01
ZOTAC GAMING 지포스 RTX 4070 AMP AIRO D6X 12GB 스파이더맨 : 어크로스 더 유니버스 번들,ZOTAC,RTX 4070,1058930.0,39,2023-05-01
GIGABYTE 지포스 RTX 3070 Gaming OC V2 D6 8GB 피씨디렉트,GIGABYTE,RTX 3070,893990.0,3,2021-07-01
MAXSUN 지포스 GT730 파워해머 SI D3 1GB LP,MAXSUN,GT730,50270.0,61,2023-11-01
갤럭시 GALAX 지포스 RTX 4090 HYDRO WHITE OC D6X 24GB,갤럭시,RTX 4090,,0,2023-05-01
MSI 지포스 RTX 3070 게이밍 Z 트리오 D6 8GB 트라이프로져2 LHR,MSI,RTX 3070,2527700.0,1,2021-07-01
MSI 지포스 RTX 3060 Ti 게이밍 X D6 8GB 트윈프로져8 LHR,MSI,RTX 3060 Ti,860990.0,7,2021-07-01
MANLI 지포스 GTX 1650 Typhoon D6 4GB,MANLI,GTX 1650,189420.0,54,2021-04-01
MSI 지포스 RTX 4070 Ti 게이밍 X 트리오 화이트 D6X 12GB 트라이프로져3,MSI,RTX 4070 Ti,,0,2023-03-01
이엠텍 지포스 RTX 3070 MIRACLE II D6 8GB,이엠텍,RTX 3070,694900.0,16,2023-03-01
갤럭시 갤라즈 GALAX 지포스 RTX 4080 SG OC D6X 16GB,갤럭시,RTX 4080,1734990.0,20,2022-11-01
ASUS DUAL 지포스 RTX 2060 O6G EVO D6 6GB,ASUS,RTX 2060,409000.0,3,2019-06-01
갤럭시 GALAX 지포스 GTX 1650 BLACK EX D6 4GB,갤럭시,GTX 1650,214000.0,68,2020-04-01
GIGABYTE 지포스 RTX 4060 Ti EAGLE D6 8GB 제이씨현,GIGABYTE,RTX 4060 Ti,597000.0,11,2023-05-01
이엠텍 지포스 RTX 2060 SUPER STORM X Dual BASIC D6 8GB,이엠텍,RTX 2060 SUPER,696160.0,7,2021-02-01
이엠텍 지포스 GTX 1660 Ti STORM X Dual BASIC OC D6 6GB,이엠텍,GTX 1660 Ti,364000.0,1,2021-10-01
ASUS TUF Gaming 지포스 RTX 3070 Ti O8G OC D6X 8GB,ASUS,RTX 3070 Ti,1382000.0,4,2021-06-01
AFOX 지포스 GT710 L5 D3 1GB LP 디앤디컴,AFOX,GT710,45000.0,33,2018-07-01
ASUS DUAL 지포스 GTX 1650 4G D5 4GB,ASUS,GTX 1650,219980.0,68,2020-03-01
ASUS TUF Gaming 지포스 RTX 3080 Ti D6X 12GB,ASUS,RTX 3080 Ti,4000000.0,1,2021-06-01
GIGABYTE 지포스 GT1030 UD2 D5 2GB 미니미 피씨디렉트,GIGABYTE,GT1030,107770.0,67,2020-10-01
COLORFUL 지포스 GTX 1660 SUPER 토마호크 DUO D6 6GB,COLORFUL,GTX 1660 SUPER,268820.0,19,2022-11-01
갤럭시 BOY 지포스 RTX 4070 2X D6X 12GB,갤럭시,RTX 4070,838380.0,45,2023-06-01
PNY 지포스 RTX 4090 VERTO D6X 24GB Triple 마이크로닉스,PNY,RTX 4090,,0,2022-10-01
PALIT 지포스 RTX 3090 Ti GAMEROCK D6X 24GB STCOM,PALIT,RTX 3090 Ti,2756900.0,1,2022-03-01
갤럭시 지포스 GT610 D3 2GB LP,갤럭시,GT610,39440.0,4,2012-05-01
갤럭시 BOY 지포스 RTX 4060 2X OC D6 8GB,갤럭시,RTX 4060,428570.0,36,2023-07-01
GIGABYTE 지포스 RTX 4070 Ti EAGLE OC D6X 12GB 피씨디렉트,GIGABYTE,RTX 4070 Ti,1193690.0,56,2023-01-01
COLORFUL iGame 지포스 RTX 4090 Vulcan OC D6X 24GB,COLORFUL,RTX 4090,,0,2022-10-01
MANLI 지포스 RTX 4060 Ti Rush D6 8GB,MANLI,RTX 4060 Ti,548870.0,49,2023-05-01
GIGABYTE 지포스 RTX 4080 EAGLE OC D6X 16GB 제이씨현,GIGABYTE,RTX 4080,1561720.0,15,2022-11-01
ASUS TUF Gaming 지포스 RTX 3080 O10G OC D6X 10GB,ASUS,RTX 3080,2156000.0,2,2020-09-01
GIGABYTE 지포스 RTX 4060 Ti GAMING D6 16GB 피씨디렉트,GIGABYTE,RTX 4060 Ti,739000.0,2,2023-10-01
ASUS DUAL 지포스 RTX 4070 D6X 12GB,ASUS,RTX 4070,873050.0,32,2023-04-01
MSI 지포스 RTX 3060 Ti 게이밍 X 트리오 D6X 8GB 트라이프로져2,MSI,RTX 3060 Ti,719000.0,3,2022-11-01
COLORFUL 지포스 GTX 1650 토마호크 EX D6 4GB,COLORFUL,GTX 1650,188430.0,50,2020-10-01
ASUS ROG STRIX 지포스 RTX 4090 GAMING D6X 24GB White,ASUS,RTX 4090,3659000.0,1,2023-05-01
COLORFUL 지포스 GTX 1650 토마호크 D6 4GB,COLORFUL,GTX 1650,188360.0,38,2020-04-01
MSI 지포스 RTX 3060 Ti 벤투스 2X OC D6X 8GB,MSI,RTX 3060 Ti,901390.0,3,2023-02-01
ASUS TUF Gaming 지포스 GTX 1650 O4G P D6 4GB,ASUS,GTX 1650,188780.0,15,2020-10-01
MSI 지포스 RTX 4090 슈프림 D6X 24GB 트라이프로져3S,MSI,RTX 4090,3590000.0,1,2022-11-01
PNY 지포스 RTX 3060 UPRISING D6 12GB Dual 마이크로닉스,PNY,RTX 3060,25300000.0,2,2021-11-01
GIGABYTE 지포스 RTX 4070 Ti AERO OC D6X 12GB 제이씨현,GIGABYTE,RTX 4070 Ti,1209000.0,3,2023-01-01
이엠텍 지포스 RTX 3070 Ti BLACK EDITION D6X 8GB,이엠텍,RTX 3070 Ti,1573000.0,1,2021-06-01
ASUS DUAL 지포스 RTX 3070 O8G OC D6 8GB,ASUS,RTX 3070,763260.0,11,2021-11-01
MSI 지포스 RTX 3070 Ti 슈프림 X D6X 8GB 트라이프로져2S,MSI,RTX 3070 Ti,1500000.0,2,2021-06-01
MSI 지포스 RTX 3060 게이밍 X D6 12GB 트윈프로져8,MSI,RTX 3060,1200000.0,3,2021-02-01
이엠텍 지포스 GTX 1660 SUPER STORM X Dual BASIC OC D6 6GB,이엠텍,GTX 1660 SUPER,892860.0,6,2021-02-01
COLORFUL 지포스 GTX1050 Ti NE V2 D5 4GB,COLORFUL,GTX1050 Ti,183990.0,35,2021-11-01
COLORFUL iGame 지포스 RTX 4090 Advanced OC D6X 24GB,COLORFUL,RTX 4090,3931510.0,1,2022-11-01
GIGABYTE AORUS 지포스 RTX 4070 Ti Master D6X 12GB 제이씨현,GIGABYTE,RTX 4070 Ti,1348920.0,1,2023-01-01
ASUS TUF Gaming 지포스 RTX 4070 Ti D6X 12GB,ASUS,RTX 4070 Ti,1355940.0,4,2023-01-01
PNY 지포스 RTX 4060 Ti VERTO D6 8GB Dual 제이씨현,PNY,RTX 4060 Ti,550000.0,16,2023-05-01
GAINWARD 지포스 RTX 4070 Ti 피닉스 GS D6X 12GB,GAINWARD,RTX 4070 Ti,1452000.0,2,2023-02-01
