Unnamed: 0,age,ageCond,birthday,buG1fAccTime,buG1fOrd,buG2fAccTime,buG2fOrd,buG3fAccTime,buG3fOrd,buG4fAccTime,buG4fOrd,buG6fAccTime,buG6fOrd,buG8fAccTime,buG8fOrd,buS1fAccTime,buS1fOrd,buS1fTime,bu_10_8fTime,bu_1fGTime,bu_2fGTime,bu_3fGTime,bu_4_2fTime,bu_6_4fTime,bu_8_6fTime,budam,buga1,buga2,buga3,chaksun1,chaksun2,chaksun3,chaksun4,chaksun5,chulNo,diffUnit,hrName,hrNo,hrTool,ilsu,jeG1fTime,jeG3fTime,jeS1fTime,je_1cTime,je_2cTime,je_3cTime,je_4cTime,jkName,jkNo,meet,name,ord,ordBigo,owName,owNo,plcOdds,prizeCond,rank,rankRise,rating,rcDate,rcDay,rcDist,rcName,rcNo,rcTime,seG1fAccTime,seG3fAccTime,seS1fAccTime,se_1cAccTime,se_2cAccTime,se_3cAccTime,se_4cAccTime,sex,sjG1fOrd,sjG3fOrd,sjS1fOrd,sj_1cOrd,sj_2cOrd,sj_3cOrd,sj_4cOrd,trName,trNo,track,weather,wgBudam,wgBudamBigo,wgHr,wgJk,winOdds,Spd,date,ills
3224,4,연령오픈,20140329,50.5,7,37.9,6,25.9,8,0.0,0,0.0,0,0.0,0,14.1,8,14.1,0.0,13.5,26.1,38.1,23.8,0.0,0.0,별정A,0,0,0,13680000,5040000,3120000,1200000,960000,7,목,넵튠,35404,망사눈,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,김용근,80405,부경,한국,8,-,장석노,110055,18.4,R0~0,국6등급,0,0,20180817,금요일,1000,일반,1,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,거,0,0,0,0,0,0,0,양귀선,70125,건조 (3%),맑음,56.0,-,430(+1),0,74.6,15.625,2018-08-17,0
2916,4,연령오픈,20140329,69.4,5,56.1,6,43.2,4,31.3,5,8.7,4,0.0,0,14.5,4,14.5,0.0,14.0,27.3,40.2,24.8,22.6,8.7,별정A,0,0,0,13680000,5040000,3120000,1200000,960000,1,3,넵튠,35404,망사눈,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,박재이,80546,부경,한국,5,-,장석노,110055,6.7,R0~0,국6등급,0,0,20180831,금요일,1300,일반,5,83.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,거,0,0,0,0,0,0,0,양귀선,70125,포화 (18%),흐림,56.0,-,423(-7),0,28.5,15.587529976019184,2018-08-31,0
2560,4,연령오픈,20140329,69.4,7,56.1,6,43.2,6,31.2,6,8.7,10,0.0,0,14.4,10,14.4,0.0,14.2,27.5,40.4,24.9,22.5,8.7,별정A,0,0,0,13680000,5040000,3120000,1200000,960000,3,코,넵튠,35404,망사눈,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,박재이,80546,부경,한국,8,-,장석노,110055,11.0,R0~0,국6등급,0,0,20180914,금요일,1300,일반,1,83.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,거,0,0,0,0,0,0,0,양귀선,70125,불량 (20%),비,56.0,-,428(+5),0,56.4,15.550239234449762,2018-09-14,0
2404,4,연령오픈,20140329,91.2,5,77.9,4,64.7,4,51.8,4,26.4,6,0.0,0,14.6,8,14.6,0.0,14.4,27.7,40.9,26.1,25.4,26.4,별정C,0,0,0,13680000,5040000,3120000,1200000,960000,3,5,넵튠,35404,망사눈,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,박재이,80546,부경,한국,5,-,장석노,110055,15.7,R0~0,국6등급,0,0,20180928,금요일,1600,일반,4,105.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,거,0,0,0,0,0,0,0,양귀선,70125,건조 (3%),맑음,55.0,-,428(),0,194.9,15.151515151515152,2018-09-28,0
2005,4,연령오픈,20140329,50.6,8,38.4,10,26.2,9,0.0,0,0.0,0,0.0,0,14.5,9,14.5,0.0,13.1,25.3,37.5,23.9,0.0,0.0,별정A,0,0,0,13680000,5040000,3120000,1200000,960000,2,2½,넵튠,35404,망사눈,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,이성재,80431,부경,한국,5,-,장석노,110055,7.5,R0~0,국6등급,0,0,20181012,금요일,1000,일반,1,63.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,거,0,0,0,0,0,0,0,양귀선,70125,건조 (4%),맑음,56.0,-,426(-2),0,92.9,15.698587127158556,2018-10-12,0
1681,4,연령오픈,20140329,90.2,7,76.3,6,62.7,6,49.3,5,25.3,6,0.0,0,14.1,5,14.1,0.0,15.0,28.9,42.5,27.0,24.0,25.3,별정C,0,0,0,13680000,5040000,3120000,1200000,960000,3,½,넵튠,35404,망사눈,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,박재이,80546,부경,한국,8,-,장석노,110055,10.8,R0~0,국6등급,0,0,20181026,금요일,1600,일반,4,105.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,거,0,0,0,0,0,0,0,양귀선,70125,건조 (3%),흐림,55.0,-,422(-4),0,72.1,15.209125475285171,2018-10-26,0
1318,4,연령오픈,20140329,70.1,10,56.8,10,44.0,10,31.6,8,8.6,9,0.0,0,14.4,9,14.4,0.0,13.9,27.2,40.0,25.2,23.0,8.6,별정C,0,0,0,13680000,5040000,3120000,1200000,960000,6,¾,넵튠,35404,망사눈,83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,박재이,80546,부경,한국,9,-,장석노,110055,7.1,R0~0,국6등급,0,0,20181109,금요일,1300,일반,2,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,거,0,0,0,0,0,0,0,양귀선,70125,포화 (15%),맑음,55.0,-,416(-6),0,40.5,15.476190476190476,2018-11-09,0
947,4,연령오픈,20140329,90.7,7,77.2,9,63.8,9,50.9,9,26.7,9,0.0,0,15.2,9,15.2,0.0,14.2,27.7,41.1,26.3,24.2,26.7,별정C,0,0,0,13680000,5040000,3120000,1200000,960000,6,9,넵튠,35404,망사눈,87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,박재이,80546,부경,한국,5,-,장석노,110055,11.0,R0~0,국6등급,0,0,20181123,금요일,1600,일반,4,104.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,거,0,0,0,0,0,0,0,양귀선,70125,건조 (3%),맑음,55.0,-,413(-3),0,75.8,15.25262154432793,2018-11-23,0
601,4,연령오픈,20140329,89.4,4,76.1,6,63.3,6,50.8,7,26.7,8,0.0,0,15.1,8,15.1,0.0,13.9,27.2,40.0,25.3,24.1,26.7,별정C,0,0,0,13680000,5040000,3120000,1200000,960000,7,½,넵튠,35404,망사눈,91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,박재이,80546,부경,한국,6,-,장석노,110055,6.9,R0~0,국6등급,0,0,20181207,금요일,1600,일반,5,103.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,거,0,0,0,0,0,0,0,양귀선,70125,다습 (11%),흐림,55.0,-,410(-3),0,32.6,15.488867376573088,2018-12-07,0
34,4,연령오픈,20140329,71.6,12,58.0,12,45.0,11,32.4,11,9.1,11,0.0,0,15.2,11,15.2,0.0,14.8,28.4,41.4,25.6,23.3,9.1,별정A,0,0,0,13680000,5040000,3120000,1200000,960000,7,4,넵튠,35404,망사눈,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,박재이,80546,부경,한국,11,-,장석노,110055,8.3,R0~0,국6등급,0,0,20181230,일요일,1300,일반,3,86.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,거,0,0,0,0,0,0,0,양귀선,70125,건조 (3%),맑음,56.0,-,411(+1),0,190.9,15.046296296296296,2018-12-30,0
