iter	Logloss
0	0.6817727688
1	0.6712992987
2	0.6612918251
3	0.6515294468
4	0.6413374889
5	0.6307036152
6	0.6200828723
7	0.6094085607
8	0.5990185008
9	0.5879155517
10	0.5785192173
11	0.5695648369
12	0.5616290223
13	0.5521510968
14	0.5442918117
15	0.5365445499
16	0.5269453113
17	0.5192593861
18	0.5124240321
19	0.5048650243
20	0.4963141444
21	0.4893982057
22	0.4826521271
23	0.4749108079
24	0.4693371076
25	0.4621697649
26	0.45562456
27	0.4482509526
28	0.4417524215
29	0.4356368625
30	0.429737974
31	0.4238400933
32	0.4179769747
33	0.4118059041
34	0.4063856698
35	0.4018459528
36	0.3960481961
37	0.3908877949
38	0.3856828308
39	0.3807724903
40	0.3757407139
41	0.370382628
42	0.3654098539
43	0.3605743013
44	0.3558308743
45	0.3509034658
46	0.3465621104
47	0.3418554068
48	0.3377298409
49	0.3335544826
50	0.3298904264
51	0.326004577
52	0.3216773036
53	0.3182608401
54	0.3140269183
55	0.3099572402
56	0.3061065949
57	0.3017945537
58	0.29789143
59	0.2938401946
60	0.2899670819
61	0.2870204529
62	0.2835967765
63	0.2803349414
64	0.2773260894
65	0.274374034
66	0.271016977
67	0.2676953044
68	0.2649826753
69	0.2618960776
70	0.2588050087
71	0.2557711967
72	0.25247046
73	0.2498060866
74	0.2468581143
75	0.2445396814
76	0.2417510625
77	0.2386410623
78	0.2360342913
79	0.2332783462
80	0.2302764987
81	0.227889272
82	0.2254991642
83	0.2236586461
84	0.2214095041
85	0.2185712495
86	0.2160180578
87	0.2135708677
88	0.2111943049
89	0.2097641551
90	0.2072612486
91	0.2052634951
92	0.2030814417
93	0.2010009492
94	0.19851041
95	0.1966257856
96	0.1947452196
97	0.1928133827
98	0.1906828981
99	0.1890061176
100	0.187028006
101	0.1854067636
102	0.1837008309
103	0.1822482211
104	0.1808089353
105	0.1794447114
106	0.1776061736
107	0.1761352777
108	0.1749433495
109	0.1733457918
110	0.171777224
111	0.1701966543
112	0.1683318618
113	0.166824458
114	0.1650467452
115	0.1636300754
116	0.1620690566
117	0.16088712
118	0.1594992109
119	0.1581292662
120	0.1570592153
121	0.1555088189
122	0.1539891526
123	0.1526522438
124	0.1513760916
125	0.1500155457
126	0.1487190237
127	0.1475468018
128	0.1464586368
129	0.1451882093
130	0.1438312494
131	0.1425882881
132	0.1414307344
133	0.1405281653
134	0.1394069237
135	0.138493615
