iter	Logloss
0	0.6919431627
1	0.690161021
2	0.6893286228
3	0.6884887097
4	0.6875675311
5	0.685633074
6	0.6849111738
7	0.6837270956
8	0.6820975124
9	0.6809729301
10	0.679587672
11	0.6781746932
12	0.6765811559
13	0.6761413766
14	0.6756211512
15	0.6741195024
16	0.6721401675
17	0.6714076347
18	0.670998291
19	0.6692888761
20	0.668766436
21	0.6681804497
22	0.6671653718
23	0.6666890518
24	0.6651762657
25	0.6636737304
26	0.6617944874
27	0.6601599538
28	0.6589968958
29	0.6578352091
30	0.6564243689
31	0.6559579036
32	0.6542262295
33	0.6526553923
34	0.651512674
35	0.6500895112
36	0.6486052337
37	0.6468831101
38	0.6453399538
39	0.6438841971
40	0.6425092519
41	0.641677121
42	0.6402114547
43	0.6392389454
44	0.6383088036
45	0.6364918215
46	0.6349799355
47	0.6344977621
48	0.6329686787
49	0.6315111087
50	0.6299124031
51	0.6286136073
52	0.6272851058
53	0.6256337245
54	0.6242305081
55	0.622890602
56	0.6214659892
57	0.6208314867
58	0.6191010896
59	0.617756032
60	0.6165136771
61	0.615729423
62	0.6145360083
63	0.612959438
64	0.6118510867
65	0.6105514297
66	0.6094361804
67	0.6081253672
68	0.6068688534
69	0.6063649818
70	0.6054353835
71	0.6038878239
72	0.6023917916
73	0.6014589673
74	0.600083559
75	0.5988172029
76	0.5973833545
77	0.596238839
78	0.5953476526
79	0.5947921456
80	0.5943341115
81	0.5933308699
82	0.592825992
83	0.5922250821
84	0.591038906
85	0.5901395607
86	0.5887554189
87	0.5876749571
88	0.5867678795
89	0.5856302392
90	0.5852217336
91	0.5838683442
92	0.5827026831
93	0.5818448376
94	0.5808483027
95	0.579589653
96	0.5784263902
97	0.577210212
98	0.5761958919
99	0.5748849193
100	0.5738169619
101	0.5726257925
102	0.5711562388
103	0.5707298524
104	0.5695354956
105	0.5683612947
106	0.5670038629
107	0.5665376361
108	0.5652774433
109	0.5641679528
110	0.56314586
111	0.5620016365
112	0.5606314624
113	0.5597548242
114	0.5584685206
115	0.5580379281
116	0.5568715928
117	0.5559428747
118	0.5546588655
119	0.553415513
120	0.5523945808
121	0.5513063504
122	0.5503609803
123	0.5497139432
124	0.5491756633
125	0.547915798
126	0.5467581738
127	0.54539241
128	0.5439479095
129	0.5435604707
130	0.5420535211
131	0.540742243
132	0.5398149861
133	0.5383878971
134	0.537332896
135	0.535858447
136	0.5347549816
137	0.5340630196
